Country,Nutrition and Basic Medical Care,Water and Sanitation,Shelter,Personal Safety,Access to Basic Knowledge,Access to Information and Communications,Health and Wellness,Environmental Quality,Personal Rights,Personal Freedom and Choice,Tolerance and Inclusion,Access to Advanced Education,Undernourishment,Depth of food deficit,Maternal mortality rate,Child mortality rate,Deaths from infectious diseases,Access to piped water,Rural access to improved water source,Access to improved sanitation facilities,Availability of affordable housing,Access to electricity,Quality of electricity supply,Household air pollution attributable deaths,Homicide rate,Level of violent crime,Perceived criminality,Political terror,Traffic deaths,Adult literacy rate,Primary school enrollment,Secondary school enrollment,Gender parity in secondary enrollment,Mobile telephone subscriptions,Internet users,Press Freedom Index,Life expectancy at 60,Premature deaths from non-communicable diseases,Suicide rate,Outdoor air pollution attributable deaths,Wastewater treatment,Biodiversity and habitat,Greenhouse gas emissions,Political rights,Freedom of expression,Freedom of assembly,Private property rights,Freedom over life choices,Freedom of religion,Early marriage,Satisfied demand for contraception,Corruption,Tolerance for immigrants,Tolerance for homosexuals,Discrimination and violence against minorities,Religious tolerance,Community safety net,Years of tertiary schooling,Women's average years in school,Inequality in the attainment of education,Globally ranked universities,Percentage of tertiary students enrolled in globally ranked universities,Depth of food deficit - capped,Adult literacy rate - capped,Secondary school enrollment - capped,Gender parity in secondary enrollment - difference from parity,Mobile telephone subscriptions - capped,Greenhouse gas emissions - capped,Globally ranked universities - bucketed,Percentage of tertiary students enrolled in globally ranked universities - bucketed,Income group
"Congo, Dem. Rep.",70.50777778,19.75,24.16,40.71,64.02,38.36,57.48,49.01,29.96,38.82,48.96,17.39,24.64074074,185.5555556,693.35,98.3,500.09,7.86,31.21,28.65,0.37,16.4,1.63,198.53,12.5,5,4,5,33.2,77.22,81.43034483,43.51,0.62,52.99,3.8,50.97,16.81,529.7,11.25,109.87,0,76.14,744.92,4,8,0.593333333,10,0.63,4,0.25,19,21,0.71,0.1,9.7,4,0.86,0.04,6.26,0.28,0,0,185.5555556,77.22,43.51,0.38,52.99,744.92,0,0,Low income
"Congo, Rep.",71.06,24.06,34.19,52.99,77.95,61.72,53.98,56.98,28.29,48.44,45.66,23.57,30.5,206,442,45,443.37,24.77,40.04,15.01,0.33,41.6,3.682,169.56,10.5,4,4,3.5,26.4,79.31,92.85,54.54,0.87,111.66,7.62,35.84,17.91,676.6,13.21,123.26,0.18,93.26,314.38,5,7,0.574285714,10,0.76,4,0.2,36.2,20,0.67,0.07,6.9,4,0.61,0.06,8.85,0.22,0,0,206,79.31,54.54,0.13,100,314.38,0,0,Lower middle income
Costa Rica,97.65,93.75,84.18,75.41,97.1,85.04,82.51,74.61,83.06,77.2,69.86,52.02,5,35,25.15,9.7,22.25,97.49,91.89,94.52,0.52,99.5,5.64,2.6,10,2,3,2,13.9,97.65,97.62,123.09,1.04,150.66,59.76,11.1,24.16,200.5,7.56,23.96,3.89,90.52,198.92,38,16,0.85,50,0.86,4,0.13,89.9,58,0.67,0.49,4.4,4,0.9,0.77,10.92,0.16,3,0.22,35,97.65,100,0.04,100,198.92,2,4,Upper middle income
Croatia,99.37,98.77,85.82,83.26,97.83,81.32,69.73,80.13,73.88,64.95,45.36,56.05,5,8,8.48,4.3,11.29,99.64,99.66,96.98,0.6,100,5.77,9.26,0.8,2,3,1,9.2,99.27,98.73,99,1.04,103.77,69.8,27.91,21.45,355.1,13.52,43.2,50.23,98.96,272.5,37,14,0.78,35,0.64,4,0.02,59.3,49,0.34,0.3,6,3,0.75,0.72,12.57,0.04,1,0.41,8,99,99,0.04,100,272.5,1,4,High income
Cuba,98.44,86.95,74.66829268,79.17,94.76,31.74,72.77,70.27,20.86,50.22,49.3155,46.8,5,7,39.16,5.5,47.47,77.66,89.8,93.16,0.441219512,100,4.323421053,4.12,4.7,1,3,3,7.5,99.71,92.25,100.4,1.05,29.65,37.31,70.23,22.83,338.5,13.4,39.39,8.28,78.51,214.66,1,5,0.588857143,10,0.7255,2,0.23,87.6,47,0.54195122,0.241081081,4.2,4,0.82195122,0.76,13.19,0.11,1,0.05,8,99,100,0.05,29.65,214.66,1,1,Upper middle income
Curaçao,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,90.88,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,88.35,1.05,132.106338,78.7539726,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,88.35,0.05,98.23126761,390.9864815,0,0,High income
Cyprus,99.51,100,81.85,81.15,99.05,83.88,81.28,73.02,84.95,71.04,52.96,65.12,5,8,6.93,2.7,13.43,100,100,100,0.46,100,5.27,0,0.1,2,3,2,5.2,99.06,98.6,99.78,0.99,95.4,71.72,18.26,22.46,220.8,3.18,21.42,14.9,78.23,291.93,38,15,0.785789474,70,0.73,3,0.02,75.61730769,55,0.61,0.35,6.5,3,0.78,1.32,14.64,0.13,2,0.27,8,99,99.78,0.01,95.4,291.93,2,4,High income
Czech Republic,99.39,99.71,89.98,92.92,98.79,88.67,72.24,80.3,86.91,76.5,57.86,67.33,5,8,4.42,3.4,20.66,100,100,99.11,0.64,100,6.39,1.81,0.7,1,2,1,6.1,97.36388889,96.93701754,105.13,1,123.16,81.3,16.66,21.95,329.1,12.01,42.35,63.01,100,426.99,38,15,0.85,75,0.8,3,0,82.8,55,0.36,0.49,5,3,0.92,0.54,14.47,0.01,13,0.57,8,97.19527778,100,0,100,426.99,5,5,High income
Côte d'Ivoire,71.68,44.75,45.92,55.38,55.27,67.45,49.53,60.1,53.93,49.71,44.8,9.35,13.3,93,644.99,92.6,553.35,42.53,68.79,22.49,0.44,55.8,3.58,174.09,11.4,4,4,3,24.2,43.27,79.25,43.87,0.72,119.31,21,30.17,14.41,547.3,16.88,81.07,0.55,90.88,519.87,20,11,0.61,30,0.75,4,0.25,34.8,34,0.76,0.09,8.3,4,0.61,0.17,3.87,0.45,0,0,93,43.27,43.87,0.28,100,519.87,0,0,Lower middle income
Denmark,99.28,99.87,94.27,93.75,98.49,95.64,77.91,91.39,97.89,89.83,78.29,70.24,5,8,6.5,3.5,27.09,100,100,99.6,0.76,100,6.75,0,1,1,2,1,3.5,97.36388889,99.54,129.87,1.04,128.34,96.33,8.89,23.26,248,10.35,21.37,91.6,97.6,213.35,40,16,0.97,95,0.95,3,0,80.4,90,0.8,0.86,4.6,3,0.95,0.95,15.13,0.03,13,0.44,8,97.19527778,100,0.04,100,213.35,5,4,High income
Djibouti,80.42,53.66,60.13487179,68.72,62.16,26.58,57.22,39.67,31.13,50.73,40.12,7.78,15.9,118,229.18,65.3,331.15,52.71,64.71,47.43,0.506756757,53.26,3.682,57.2,7,2,3,3,24.7,80.91642857,75.8,48.27,0.82,34.94,11.92,70.9,17.61,575.3,11.86,90.74,0,39.2,1067.23,7,6,0.574285714,25,0.74,3,0.158717949,43.3,30,0.56,0.05,6.7,3,0.63,0.339375,4.05,0.47,0,0,118,80.83880952,48.27,0.18,34.94,1067.23,0,0,Lower middle income
Dominica,94.30555556,81.48,74.66829268,64.90926829,91.84930233,69.16829787,72.03,69.8,76.67,60.9365,49.3155,41.95813953,7.922222222,45.17777778,68.1994,21.2,64.38,68.35,91.81,81.12,0.441219512,92.67,4.323421053,7.19,8.4,3.05952381,3.476190476,2.80952381,15.3,94.1487234,99.2,100.49,0.99,106.29,67.6,38.39583333,21.46,437.5,4.99,28.91,2.99,81.02,329.5,38,15,0.64,60,0.7255,4,0.106,64.16078431,59,0.54195122,0.241081081,6.579166667,4,0.82195122,0.491081081,12.48,0.162926829,0,0,45.35555556,94.02212766,100,0.01,100,329.5,0,0,Upper middle income
Dominican Republic,90.54,78.79,68.87,55.75,85.07,71.03,75.39,77.43,62.2,63.27,62.49,30.2,12.3,86,92.08,30.9,65.9,72.13,81.9,83.99,0.52,98,2.38,10.22,17.4,3,4,3,29.3,92.47,88.75,77.82,1.1,82.59,54.22,27.9,22.03,326.4,6.75,43.31,40.42,93.54,265.76,27,14,0.65,25,0.86,4,0.27,83.6,31,0.66,0.35,6,4,0.89,0.36,11.12,0.23,0,0,86,92.47,77.82,0.1,82.59,265.76,0,0,Upper middle income
Ecuador,92.59,79.6,79.22,65.18,97.11,66.61,77.23,71.01,49.27,63.88,60.45,37.51,10.9,70,63.78,21.6,73.06,85.31,75.52,84.69,0.52,97.2,4.66,4.12,8.2,3,4,2,20.1,94.52,99.05,107.22,1.04,79.77,48.94,33.21,22.71,282.2,7.99,25.99,0,88.91,346.76,24,11,0.51,15,0.84,4,0.22,81.9,31,0.71,0.45,7.5,4,0.84,0.38,11.24,0.21,2,0.05,70,94.52,100,0.04,79.77,346.76,2,1,Upper middle income
"Egypt, Arab Rep.",96.72,97.64,70.3,64.54,91.15,62.69,62.94,58.99,28.14,57.84,35.1,39.11,5,12,33.04,24,46.47,99.34,98.99,94.72,0.28,100,3.45,0.04,3.2,3.5,3,4,12.8,75.84,99.59,86.1,0.99,110.99,37.82,54.45,17.42,527,3.51,113.52,28.35,72.75,334.09,9,5,0.35,20,0.63,1,0.14,80.3,34,0.45,0.161621622,9,2,0.81,0.41,9.06,0.41,10,0.38,12,75.84,86.1,0.01,100,334.09,4,4,Lower middle income
El Salvador,92.29,79.68,78.37,37.36,92.51,70.16,75.43,67.35,64.26,65.06,51.77,22.91,12.4,85,54.08,16.8,66.48,78.11,86.54,74.99,0.53,93.7,4.88,15.21,64.2,5,5,2,21.1,87.65,98.34,81.12,1.01,145.26,26.92,27.2,21.89,260.4,9.77,43.82,1.04,76.43,249.88,34,12,0.62,35,0.78,4,0.17,80.2,36,0.43,0.3,6.2,4,0.78,0.21,9.21,0.3,0,0,85,87.65,81.12,0.01,100,249.88,0,0,Lower middle income
Equatorial Guinea,94.30555556,35.39,74.66829268,69.64,91.84930233,41.98,53.45,54.28,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,341.59,94.1,410.69,10.34,31.49,74.54,0.441219512,66,4.323421053,158.2,3.4,2,4,3,11.4,95.2,57.25,90.56428571,1.036938776,66.72,21.32,66.47,16.76,576.9,15.81,92.44,1.25,91.8,803.27,1,4,0.588857143,10,0.7255,3,0.26,26.1,19,0.54195122,0.241081081,6.3,4,0.82195122,0.491081081,7.28,0.162926829,0,0,45.35555556,95.2,88.7244898,0.065102041,66.72,803.27,0,0,Upper middle income
Eritrea,70.50777778,26.27,35.4775,57.89,46.84,8.9,49.07,40.49,44.1837931,46.10566667,43.18428571,12.05137931,24.64074074,185.5555556,500.63,46.5,482.29,9.24,53.28,15.73,0.43,36.08,2.444782609,160.45,9.7,2,4,4.5,24.1,73.85,39.59,30.55,0.85,7.05,1.08,83.92,15.64,665.4,15.33,104.92,0,41.11,895.58,1,0,0.593333333,10,0.653793103,2,0.31,27,18,0.61,0.109615385,6.6,4,0.664482759,0.089090909,3.95,0.376,0,0,185.5555556,73.85,30.55,0.15,7.05,895.58,0,0,Low income
Estonia,99.46,97.76,87.24,83.41,97.4,91.46,70.52,81.4,91.92,78.59,50.25,66.08,5,8,9.32,2.9,13.09,96.84,98.96,97.23,0.67,100,5.74,7.7,3.1,2,3,1,7,99.82,94.94,115.18,0.99,148.69,88.41,14.31,21.98,347.9,14.18,25.85,71.86,100,625.43,38,16,0.85,90,0.8,4,0.05,76.6,70,0.27,0.26,6.8,4,0.92,1.1,14.47,0.02,3,0.41,8,99,100,0.01,100,625.43,2,4,High income
Ethiopia,70.56,28.86,42.95,66.38,65.75,39.06,60.04,52.18,20.12,53.14,36.49,7.94,32,236,352.7,59.2,351.57,12.11,48.64,28.02,0.51,26.56,3.36,138.61,8,2,3,3.5,25.3,49.03,86.91,37.7,0.9,42.76,11.6,45.13,17.76,474.1,12.69,70.84,0,83.52,1037.29,4,2,0.26,30,0.69,3,0.23,58.5,34,0.51,0.02,8.6,3,0.72,0.089090909,3.75,0.44,0,0,236,49.03,37.7,0.1,42.76,1037.29,0,0,Low income
Faroe Islands,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,100,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,107.51,94.2,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,96.92709677,0.047868852,100,390.9864815,0,0,High income
Fiji,95.63,84.46,74.66829268,64.90926829,91.84930233,74.51,43.53,63.74,53.034,60.9365,49.3155,37.55,5,30,30.26,22.4,102.41,68.43,91.21,91.12,0.441219512,59.33,4.323421053,27.35,3,3.05952381,3.476190476,2.80952381,5.8,94.1487234,98.03,88.67,1.11,108.2,46.33,29.37,17.16,973.3,13.69,33.33,3.9,59.23,404.15,25,12,0.588857143,30,0.7255,3,0.1,64.2,38.75510204,0.54195122,0.241081081,7.1,3,0.82195122,0.48,12.09,0.1,0,0,30,94.02212766,88.67,0.11,100,404.15,0,0,Upper middle income
Finland,99.65,99.24,92.64,93.13,96.46,94.77,77.08,89.77,95.77,91.69,84.04,72.12,5,8,2.61,2.3,9.43,100,100,97.65,0.71,100,6.61,0,1.6,1,2,1,4.8,97.36388889,99.82,149.46,1.09,135.45,92.65,8.59,24.06,224.2,15.71,13.95,83.72,96.93,297.8,40,16,0.94,90,0.94,4,0.01,86.9,89,0.73,0.75,2,4,0.95,0.95,15.05,0.02,18,0.34,8,97.19527778,100,0.09,100,297.8,6,4,High income
France,99.27,99.56,88.4,82.74,99.59,86.85,79.06,91.14,86.03,81.5,61.16,75.72,5,8,8.47,4.3,19.74,100,100,98.65,0.47,100,6.73,0,1.2,2,3,1.5,5.1,97.36388889,99.93,110.64,1.01,102.61,84.69,23.83,25.69,241.5,16.48,14.8,79.56,99.52,186.89,38,14,0.83,80,0.79,3,0.01,90.5,69,0.7,0.72,7,2,0.88,0.88,14.04,0.08,75,0.52,8,97.19527778,100,0.01,100,186.89,9,5,High income
French Polynesia,98.78702128,98.89,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,97.73,100,98.49,0.5088,59.33,6.023333333,1.558852459,0.4,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,94.9,64.56,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,97.19527778,96.92709677,0.047868852,94.9,390.9864815,0,0,High income
Gabon,87.69,55.99,61.51,72.41,91.84930233,67.34,58.89,64.07,42.7,49.98,56.62,29.67,5,18,290.69,50.8,312.67,64.54,66.68,41.86,0.3,89.3,2.88,40.54,9.4,2,3,2,22.9,83.24,94.47297872,90.56428571,1.036938776,161.12,23.5,32.2,18.23,518.1,13.9,82.51,0,89.37,221.16,8,9,0.588857143,40,0.69,4,0.22,37.8,35,0.62,0.06,4,4,0.77,0.45,10.16,0.23,0,0,18,83.24,88.7244898,0.065102041,100,221.16,0,0,Upper middle income
"Gambia, The",80.74,61.25,43.73,55.98,67.95,60.19,59.51,34.21,24.76,42.16,43.18428571,8.25,5.3,32,706.02,68.9,276.35,33.13,84.35,58.88,0.43,34.53,3.47,149.21,9.4,3.5,4,3,29.4,55.57,75.97,57.45,0.95,137.85,17.12,46.53,15.31,433,7.96,89.23,0.4,43.63,2548.54,8,3,0.593333333,25,0.653793103,4,0.25,28.2,26,0.61,0.109615385,3.4,4,0.664482759,0.06,3.48,0.376,0,0,32,55.57,57.45,0.05,100,1500,0,0,Low income
Georgia,95.96,90.26,79.48,82.87,99.26,75.38,62.85,58.74,64.85,57.87,26.3,55.8,7.4,55,36.06,11.9,21.34,80.45,100,86.26,0.64,100,4.92,43.24,2.7,2,2,2,11.8,99.76,98.58,103.68,1,128.95,47.57,27.96,19.4,568.7,7.82,67.57,0,70.31,472.99,27,11,0.77,40,0.55,3,0.14,55.1,57,0.43,0.05,8.1,2,0.53,0.339375,14.57,0.03,1,0.17,55,99,100,0,100,472.99,1,3,Lower middle income
Germany,99.36,99.75,89.03,89.71,97.85,91.06,78.62,91.6,92.75,84.83,73.64,73.84,5,8,6.18,3.7,19.12,100,100,99.22,0.57,100,6.44,0,0.9,2,2,1,4.3,97.36388889,99.8,102.67,0.94,116.71,87.59,14.8,23.69,249.3,10.42,22.88,95.3,100,256.79,39,15,0.91,90,0.86,3,0,80.6,81,0.78,0.77,4.8,3,0.9,0.76,14.24,0.02,91,0.43,8,97.19527778,100,0.06,100,256.79,9,4,High income
Ghana,86.15,43.02,43.12,69.54,86.71,72.76,57.55,62.66,80.1,60.17,52.02,23.51,5,19,319.48,61.6,326.2,18.88,84.05,14.87,0.41,64.06,2.21,155.14,1.7,3,3,2,26.2,76.58,99.69,71.04,0.95,129.74,23.48,17.95,15.9,501.8,9.68,74.83,1.19,80.79,293.8,37,14,0.87,50,0.74,4,0.09,44,43,0.65,0.07,4.6,4,0.64,0.12,7.12,0.37,1,0.09,19,76.58,71.04,0.05,100,293.8,1,2,Lower middle income
Gibraltar,98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.5088,95.8484,6.023333333,1.558852459,4.643835616,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,141.18,65.02,23.46236364,22.82844828,281.2,11.40114754,28.9457377,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,96.92709677,0.047868852,100,390.9864815,0,0,High income
Greece,99.39,99.67,82.48,77.92,95.58,79.6,82.68,85.2,72.63,56.68,47.58,67.65,5,8,3.2,4.6,13.17,100,100,98.98,0.5,100,5.26,0,0.1,2,3,2.5,9.1,95.29,96.79,106.5,0.94,112.95,66.84,30.35,23.96,264.8,3.15,27.41,77.62,94.82,359.69,35,14,0.74,40,0.46,3,0.04,59.3,44,0.43,0.28,5.1,2,0.8,1.28,13.88,0.12,10,0.28,8,95.29,100,0.06,100,359.69,4,4,High income
Greenland,98.78702128,100,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5,8,14.13192308,6.320689655,46.37,100,100,100,0.5088,100,6.023333333,0,1.8,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,106.1520968,1.007868852,106.5,67.6,23.46236364,22.82844828,281.2,64.62,14.87,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,75.61730769,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,8,97.19527778,96.92709677,0.047868852,100,390.9864815,0,0,High income
Grenada,94.30555556,93.86,74.66829268,64.90926829,91.84930233,69.16829787,63.26,63.09666667,53.034,60.9365,49.3155,41.95813953,7.922222222,45.17777778,26.7,11.8,90.63,87.85,95.3,98.01,0.441219512,90.88,4.323421053,5.37,7.5,3.05952381,3.476190476,2.80952381,17.95882353,94.1487234,99.64,99.18,1,112.25,53.81,38.39583333,19.03,552.6,6.77,42.99,15.71978261,48.53,1820.03,38,15,0.75,34.3,0.7255,4,0.106,78,56,0.54195122,0.241081081,3.8,4,0.82195122,0.491081081,11.15,0.162926829,0,0,45.35555556,94.02212766,99.18,0,100,1500,0,0,Upper middle income
Guam,98.78702128,95.91,85.8374,84.57826087,96.47425926,85.59214286,76.20092593,81.07979592,79.074,76.98408163,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,49.72,97.84,99.53,89.83,0.5088,59.33,6.023333333,1.87,2.5,1.670212766,2.553191489,1.489361702,8.170344828,99.79,96.93701754,106.1520968,1.007868852,132.106338,73.14,23.46236364,22.82844828,281.2,20.77,32.46,64.73425926,85.33777778,390.9864815,33.28333333,13.82258065,0.785789474,69.81818182,0.805294118,3.387096774,0.034081633,65.2,64.65454545,0.651,0.574888889,4.598113208,3.419354839,0.8948,0.883846154,13.71163636,0.066976744,0,0,11.61818182,99,96.92709677,0.047868852,98.23126761,390.9864815,0,0,High income
Guatemala,88.53,77.98,75.12,45.17,80.61,66.08,74.01,67.79,54.54,59.56,47.72,14.39,15.6,101,87.87,29.1,129.4,84.63,86.82,63.85,0.53,78.5,5.67,47.15,31.2,5,5,2.5,19,79.07,89.13,63.53,0.94,111.48,27.1,38.03,21.13,297.7,7.86,52.24,6.8,78.02,220.41,23,11,0.65,20,0.82,4,0.2,66.2,28,0.45,0.28,8.2,4,0.81,0,6.65,0.36,0,0,101,79.07,63.53,0.06,100,220.41,0,0,Upper middle income
Guinea,69.61,35.61,23.53,51.23,48.28,57.47,56.68,50.45,46.09,37.31,41.07,3.45,16.4,115,678.99,93.7,545.46,14.05,67.4,20.1,0.36,26.2,1.29,210.63,8.7,5,4,3,27.3,30.47,78.02,38.82,0.66,87.17,4.7,33.08,16.75,564.9,10.6,81.55,0.61,86.95,1090.57,17,10,0.593333333,20,0.72,3,0.38,20.4,27,0.76,0.04,8.8,3,0.67,0.089090909,2.07,0.48,0,0,115,30.47,38.82,0.34,87.17,1090.57,0,0,Low income
Guinea-Bissau,68.83,30.27,35.4775,58.33,58.29,52.39,48.45,48.24,45.41,43.45,43.18428571,6.76,20.7,143,549.1,92.5,571.95,5.75,60.28,20.85,0.43,60.61,2.444782609,228.06,9.9,4,4,2,27.5,59.77,69.59,32.64,0.810645161,69.27,3.54,29.03,15.11,696.5,13.07,107.54,0,87.3,964.53,16,10,0.593333333,20,0.653793103,4,0.22,40.4,16,0.61,0.109615385,5.4,4,0.664482759,0.089090909,2.36,0.4,0,0,143,59.77,32.64,0.205483871,69.27,964.53,0,0,Low income
Guyana,87.9,85.06,64.08,60.04,88.25,61.64,42.07,51.72,67.49,60.9365,49.3155,29.93,10.6,74,228.76,39.4,153.82,67.31,98.3,83.65,0.441219512,79.47,3.01,15.31,20.4,5,3,2,17.3,87.54,85.84,89.34,0.99,67.19,38.2,27.07,16.13,672.2,29.16,61.9,0.65,51.31,747.01,32,15,0.65,30,0.7255,4,0.106,57.1,34,0.54195122,0.241081081,6.4,4,0.82195122,0.02,10.85,0.1,0,0,74,87.54,89.34,0.01,67.19,747.01,0,0,Upper middle income
Haiti,54.7,27.61,30.54,62.44,63.53806452,56.21,55.93,47.33,42.18,38.35,40.11,14.47,53.4,546,359.32,69,216.14,9.8,47.61,27.6,0.17,37.9,1.59,144.91,10,3,4,2.5,26.4483871,60.69,81.43034483,42.2509375,0.810645161,68.84,12.2,24.66,17.64,678.9,8.7,81.31,0,24.41,474.87,15,10,0.593333333,10,0.3,4,0.19,48.7,20,0.42,0.14,6.7,4,0.58,0.04,6.9,0.38,0,0,546,60.69,42.2509375,0.205483871,68.84,474.87,0,0,Low income
Honduras,91.05,84.16,66.91,32.14,82.56,60.21,74.09,60.27,50,59.96,57.21,22.59,12.2,85,129.31,20.4,69.13,90.29,83.76,82.65,0.56,82.2,3.69,56.12,74.6,5,5,3,17.4,88.42,95.35,70.78,1.19,95.54,20.36,44.62,22.28,388.3,6.57,72.01,1.78,86.89,564.07,19,9,0.6,30,0.84,3,0.25,76.4,30,0.55,0.43,6.1,4,0.77,0.15,8.58,0.26,0,0,85,88.42,70.78,0.19,95.54,564.07,0,0,Lower middle income
"Hong Kong SAR, China",98.78702128,96.4240625,85.8374,84.57826087,96.47425926,85.14,76.20092593,81.07979592,79.074,84.63,66.55276596,65.348125,5.125454545,11.43636364,14.13192308,6.320689655,32.42934426,93.96650794,97.95269841,96.83621212,0.38,100,6.79,1.558852459,0.9,1.670212766,2.553191489,1.489361702,8.170344828,97.36388889,96.93701754,100.84,0.96,228.68,84.95,28.5,22.82844828,281.2,11.40114754,28.9457377,90.93,85.33777778,390.9864815,33.28333333,12,0.52,90,0.79,4,0,87.3,77,0.73,0.61,4.598113208,4,0.83,0.85,13.71163636,0.066976744,13,0.32,11.61818182,97.19527778,100,0.04,100,390.9864815,5,4,High income
Hungary,99.16,98.9,80.45,81.75,98.3,82.03,62.64,79.71,63.72,65.9,50.96,64.32,5,8,16.58,5.9,8.26,98.34,100,97.99,0.55,100,4.77,9.37,1.5,2,3,1.5,7.7,99.38,96.46,105.2,1,118.91,72.83,28.17,20.26,454.8,17.08,48.24,51.1,100,271.24,29,13,0.58,45,0.51,3,0.01,82.3,48,0.28,0.28,5,3,0.89,0.77,13.91,0.03,9,0.45,8,99,100,0,100,271.24,4,4,High income
Iceland,99.54,99.6,87.15,93.55,98.13,93.7,83.32,81.07,92.41,87.17,93.04,74.61,5,8,3.5,2,19.91,100,100,98.78,0.41,100,6.72,0,0.3,1,2,1,4.6,97.36388889,99.15,118.56,1.04,114.01,98.2,15.3,24.69,183.2,8.74,12.42,60.06,66.04,210.17,38,16,0.785789474,90,0.94,3,0.01,75.61730769,78,0.87,0.88,1.3,4,0.98,1.31,14.86,0.02,2,0.7,8,97.19527778,100,0.04,100,210.17,2,6,High income
India,84.64,57.57,64.42,60.35,85.57,56.1,55.91,47.01,72.3,58.43,26.36,32.05,15.2,109,174.33,47.7,210.98,28.18,92.65,39.63,0.67,78.7,4.28,119.78,3.2,3,4,4,16.6,72.23,95.14,74.28,1.01,78.06,26,43.17,17.91,534.8,17.33,133.54,2.25,63.42,490.65,35,13,0.67,55,0.8,2,0.28,72.3,40,0.38,0.22,8.5,1,0.61,0.33,5.79,0.42,40,0.03,109,72.23,74.28,0.01,78.06,490.65,8,1,Lower middle income
Indonesia,91.98,56.54,78.02,69.99,92.1,63.31,62.09,65.74,64.54,64.16,35.47,37.19,7.6,51,126.19,27.2,149.59,21.83,79.48,60.83,0.75,96,4.2,37.11,0.5,3,3,3,15.3,95.44,92.88,82.47,0.99,132.35,21.98,41.72,16.65,517,3.11,49.9,0.02,81.62,348.04,31,12,0.71,30,0.82,1,0.14,81.2,37,0.32,0.09,7.3,2,0.79,0.26,9.56,0.21,10,0.05,51,95.44,82.47,0.01,100,348.04,4,1,Lower middle income
"Iran, Islamic Rep.",97.17,90.96,77.84,64.86,94.38,57.77,68.8,56,18.62,50.08,26.38,40.34,5,31,25.17,15.5,29.48,92.18,92.12,90,0.32,100,5.03,0.94,4.8,2,3,3.5,32.1,87.17,99.25,89.17,0.99,93.38,45.33,66.52,19.6,415.4,6.01,71.1,3.73,64.16,576.28,7,2,0.3,10,0.7255,1,0.21,71.9,29,0.49,0.241081081,8.8,2,0.56,0.81,9.89,0.37,14,0.05,31,87.17,89.17,0.01,93.38,576.28,5,1,Upper middle income
